Bolagsnamn,Org.nr,Besöksadress,Postnr,Ort,Kommun,Omsättning (Mkr),Omsättningsår,Anställda,Grundat,Hemsida,Mejl,Status
Wise IT AB,5569195356,Linnégatan 87,115 23,Stockholm,Stockholm,37,2025,21,2013,https://www.wiseit.se,,Ny kandidat
NORSE DIAMOND DRILLING AB,5593949752,Fabriksgatan 4,939 32,Malå,Malå,37,2025,16,2022,https://www.norsedd.com,,Ny kandidat
Hultmark Sweden AB,5569825531,Dunhammarvägen 18,374 51,Asarum,Karlshamn,37,2025,21,2014,https://hultmarksweden.se,,Ny kandidat
Stuvbutiken Bemanning AB,5590618996,Bromsgatan 5,653 41,Karlstad,Karlstad,36.5,2024,62,2016,https://www.stuvbutiken.com,,Ny kandidat
SEOO Bemanning AB,5593893448,Lilla Strandvägen 4,444 31,Stenungsund,Stenungsund,36.4,2025,37,2022,,,Ny kandidat
ETU Match AB,5566086798,Prästgårdsgatan 1,172 32,Sundbyberg,Sundbyberg,35.9,2025,42,2001,,,Ny kandidat
Procruitment Karlstad AB,5592152937,Södra Kyrkogatan 6,652 24,Karlstad,Karlstad,35.7,2024,42,2019,https://www.procruitment.se,,Ny kandidat
Bricegroup AB,5592006695,Torsgatan 26,113 21,Stockholm,Stockholm,35.4,2025,13,2019,https://www.brice.se,info@brice.se,Ny kandidat
Just Arrived Sweden AB,5592087125,"c/o CMNTY, Stureplan 6 3 Trappor",114 35,Stockholm,Stockholm,35.1,2022,9,2019,,,Ny kandidat
Actina Aktiebolag,5564031994,Bogårdsvägen 45,128 62,Sköndal,Stockholm,35,2025,44,1990,,,Ny kandidat
New Professional Minds AB,5569908105,Kungsportsavenyen 37,411 36,Göteborg,Göteborg,34.8,2025,40,2014,,,Ny kandidat
Level Recruitment AB,5567664312,Skeppsbron 26,111 30,Stockholm,Stockholm,34.8,2025,15,2008,,,Ny kandidat
Actum Greentech AB,5590465547,Tennvägen 14,371 50,Karlskrona,Karlskrona,34.8,2025,17,2016,,,Ny kandidat
Gigstep AB,5591878227,Storgatan 22 a,211 42,Malmö,Malmö,34.7,2025,44,2018,,,Ny kandidat
SA Månsarps Fastigheter AB,5567198535,Dammhagsvägen 22,556 31,Jönköping,Jönköping,34.7,2025,8,2007,,,Ny kandidat
EAAB Byggbemanning AB,5566864582,Valhallavägen 77,114 28,Stockholm,Stockholm,34.6,2025,50,2005,,,Ny kandidat
AAAA Mextision AB,5566964002,Vegagatan 3,113 29,Stockholm,Stockholm,34.6,2025,47,2006,,,Ny kandidat
Trade Gothenburg AB,5591949853,Södra Larmgatan 6,411 16,Göteborg,Göteborg,34.4,2025,18,2019,,,Ny kandidat
Comstream AB,5569458911,Östra Vittusgatan 36,371 14,Karlskrona,Karlskrona,34.3,2025,0,2013,,,Ny kandidat
TESIA AB,5565831301,Västgötavägen 12,451 34,Uddevalla,Uddevalla,34.3,2024,62,2000,,,Ny kandidat
Doctor on Demand Healthcare Sweden AB,5569093999,Kungsgatan 12,111 35,Stockholm,Stockholm,33.4,2025,3,2012,,,Ny kandidat
Nexer Recruit AB,5569754970,Lindholmspiren 9,417 56,Göteborg,Göteborg,33.3,2024,25,2014,,,Ny kandidat
Mesh AB,5590363015,Västra Järnvägsgatan 15,111 64,Stockholm,Stockholm,33.3,2025,5,2015,,,Ny kandidat
SDÅ-Bygg AB,5591610240,Travgatan 6,431 62,Mölndal,Mölndal,33.3,2024,5,2018,,,Ny kandidat
Just Arrived AB,5590606652,"c/o CMNTY STUREPLAN 6, Stureplan 6 3 Trappor",114 35,Stockholm,Stockholm,32.8,2022,72,2016,,,Ny kandidat
Industrilandslaget Bemanning AB,5594410325,Stationsgatan 17 b,931 29,Skellefteå,Skellefteå,32.6,2025,20,2023,,,Ny kandidat
Akuro AB,5567832307,Kungsgatan 57,411 15,Göteborg,Göteborg,32.1,2025,32,2009,,,Ny kandidat
KLETOR Sverige AB,5569031197,Studentgatan 2,211 38,Malmö,Malmö,32.1,2024,6,2012,,,Ny kandidat
Advokatfirman Nordia Service AB,5567431050,Kungsbron 1,111 22,Stockholm,Stockholm,31.9,2025,33,2007,,,Ny kandidat
Shark Bemanning AB,5592705247,Kyrkogatan 16,745 31,Enköping,Enköping,31.5,2025,45,2020,,,Ny kandidat
Noor Jobs AB,5590457650,Götgatan 8 c,903 27,Umeå,Umeå,31.5,2025,18,2015,,,Ny kandidat
ABC Doctor AB,5569167165,Lagerbergsgatan 33,451 31,Uddevalla,Uddevalla,31.4,2025,9,2012,,,Ny kandidat
Head Agent Executive Interim AB,5591291173,Brahegatan 10,114 37,Stockholm,Stockholm,31.1,2025,3,2017,,,Ny kandidat
SMW Group AB,5591250989,Masthamnsgatan 21,413 29,Göteborg,Göteborg,30.9,2024,20,2017,,,Ny kandidat
Söndrums Styckningscentral Aktiebolag,5563047371,Plönninge 476,305 61,Harplinge,Halmstad,30.7,2024,49,1987,,,Ny kandidat
Four Service AB,5563755882,Arenavägen 45 18tr,121 77,Johanneshov,Stockholm,30.6,2025,40,1989,,,Ny kandidat
24 Staffing AB,5569870412,"c/o Konrad Advokater AB, Box 2051",750 02,Uppsala,Uppsala,30.5,2024,42,2014,,,Ny kandidat
Human Capital Source Executive Sweden AB,5565505574,Kungsgatan 12,111 35,Stockholm,Stockholm,30.4,2025,17,1998,,,Ny kandidat
Vårdbron Sverige AB,5568909195,Armégatan 40,171 71,Solna,Solna,30.2,2024,10,2012,,,Ny kandidat
Wrknest AB,5592932213,Medborgarplatsen 25,118 72,Stockholm,Stockholm,30.1,2025,20-49,2020,,,Ny kandidat
HelloLilly AB,5592683840,Löjtnantsgatan 3,115 50,Stockholm,Stockholm,30,2024,38,2020,,,Ny kandidat
Cura Nord bemanning & rekrytering AB,5590823935,Västra Esplanaden 2,903 26,Umeå,Umeå,29.9,2025,13,2016,,,Ny kandidat
SalesOnly Sverige AB,5565768099,Linnégatan 87,115 23,Stockholm,Stockholm,29.8,2025,15,1999,,,Ny kandidat
Holy Kebab Group AB,5593834285,Korpgatan 21,554 39,Jönköping,Jönköping,29.4,2025,44,2022,,,Ny kandidat
Nator Personal AB,5593187569,Krögerspromenad 7,191 37,Sollentuna,Sollentuna,29.1,2025,39,2021,,,Ny kandidat
Haeger & Carlsson Executive Search and Interim AB,5590183769,Rimbogatan 8 Search&Interim Ab,114 32,Stockholm,Stockholm,29.1,2025,11,2015,,,Ny kandidat
Partner 2 Work AB,5593302986,Vassbottengatan 14,462 38,Vänersborg,Vänersborg,29.1,2025,46,2021,,,Ny kandidat
SIMS Interim AB,5594802216,Korsgatan 3 4 Trappor,411 16,Göteborg,Göteborg,28.6,2025,4,2024,,,Ny kandidat
WeeCan AB,5592390735,Per Mattissons Väg 47,291 91,Kristianstad,Kristianstad,28.6,2025,20,2020,,,Ny kandidat
K J Larsson Byggnads Aktiebolag,5563916294,Bärnstensvägen 53,434 51,Kungsbacka,Kungsbacka,28.5,2025,27,1990,,,Ny kandidat
Telge Tillväxt (i Södertälje) AB,5568372568,Storgatan 42,151 36,Södertälje,Södertälje,28.4,2024,50,2011,,,Ny kandidat
QR Work AB,5569172660,"c/o Advokatbyrån Balk AB, Box 111",971 04,Luleå,Luleå,28.4,2023,11,2013,,,Ny kandidat
Qlose Recruitment & Consulting AB,5590462841,Dockplatsen 1,211 19,Malmö,Malmö,28.3,2025,7,2015,,,Ny kandidat
Novare Bemanning AB,5567834782,Blasieholmsgatan 4 b,111 48,Stockholm,Stockholm,28.1,2025,25,2009,,,Ny kandidat
Marketpeople Logistik AB,5595214817,Föreningsgatan 26,211 52,Malmö,Malmö,27.9,2025,60,2025,,,Ny kandidat
Isaksson Byggbemanning AB,5593560120,Kärleksgatan 1,211 45,Malmö,Malmö,27.8,2025,30,2021,,,Ny kandidat
Allmedica AB,5565067021,Strandbergsgatan 61,112 51,Stockholm,Stockholm,27.7,2024,18,1995,,,Ny kandidat
Bohmans Nätverk Aktiebolag,5564828407,Grev Turegatan 20,114 46,Stockholm,Stockholm,27.6,2024,4,1994,,,Ny kandidat
Kraftsam Personal AB,5591216204,Odengatan 40,113 51,Stockholm,Stockholm,27.4,2025,60,2017,,,Ny kandidat
Global Security IPS AB,5566717236,Dugatorps Åsväg 37,439 75,Fjärås,Kungsbacka,27.4,2025,20,2004,,,Ny kandidat
Netray Consulting AB,5590498035,Barbackagatan 2,291 32,Kristianstad,Kristianstad,27.2,2024,37,2016,,,Ny kandidat
Cura Connect AB,5590763735,C/O Helio Sundbybergs Torg 1,172 67,Sundbyberg,Sundbyberg,27,2025,11,2016,,,Ny kandidat
Personlig Assistansförmedling i Jämtland AB,5592009665,Krondikesvägen 93 d,831 46,Östersund,Östersund,26.9,2025,62,2019,,,Ny kandidat
Dala Industrisupport AB,5591612709,Industrivägen 10,777 34,Smedjebacken,Smedjebacken,26.9,2025,39,2018,,,Ny kandidat
Åkeritjänster i Gefle AB,5563913077,Ritargatan 6 1 Tr,781 70,Borlänge,Borlänge,26.9,2025,41,1990,,,Ny kandidat
Annsam AB,5566197660,Box 90143,120 21,Stockholm,Stockholm,26.8,2025,11,2001,,,Ny kandidat
Artion Service AB,5590736566,Karolinska Vägen 18,171 64,Solna,Solna,26.8,2025,50,2016,,,Ny kandidat
Te Crea Care AB,5569368607,Erik Dahlbergsgatan 9,411 26,Göteborg,Göteborg,26.7,2025,10,2013,,,Ny kandidat
Jobbpunkten AB,5590739032,Södergatan 39,252 19,Helsingborg,Helsingborg,26.6,2024,37,2016,,,Ny kandidat
Worko AB,5568420755,Norra Stationsgatan 67,113 64,Stockholm,Stockholm,26.4,2024,15,2011,,,Ny kandidat
Newmill Bemanning AB,5590985791,Lilla Gölhult 5,566 91,Habo,Habo,26.4,2024,14,2017,,,Ny kandidat
Nordic Concrete RM AB,5593330458,Kontorsvägen 10,246 43,Löddeköpinge,Kävlinge,26.2,2024,30,2021,,,Ny kandidat
BEST Fastighet AB,5567473862,Lanna Golfbana 4,719 93,Vintrosa,Lekeberg,26.1,2025,19,2007,,,Ny kandidat
Montage Installation och Konsult i Hudiksvall AB,5567080824,Gammelbansvägen 3,824 40,Hudiksvall,Hudiksvall,26.1,2025,9,2006,,,Ny kandidat
OMNILS GROUP AB,5592714009,Västerled 31,167 55,Bromma,Stockholm,26,2025,39,2020,,,Ny kandidat
WORKNORDIC GROUP AB,5568261001,Strandvägen 47,114 56,Stockholm,Stockholm,25.9,2025,27,2010,,,Ny kandidat
NW NORDIC AB,5594312315,Skogsgatan 11,814 41,Skutskär,Älvkarleby,25.9,2025,42,2023,,,Ny kandidat
TRIB AB,5568040207,Stadsgården 6,116 45,Stockholm,Stockholm,25.8,2025,2,2010,,,Ny kandidat
Joy Personal & Rekrytering AB,5591357685,Sveavägen 33,111 34,Stockholm,Stockholm,25.7,2025,40,2017,,,Ny kandidat
Agillo AB,5567412282,August Barks Gata 25 b,421 32,Västra Frölunda,Göteborg,25.7,2024,45,2007,,,Ny kandidat
JTL Entreprenad AB,5590016670,Sätravägen 22,819 30,Skärplinge,Tierp,25.7,2024,13,2015,,,Ny kandidat
Caland Företagsservice AB,5561805234,Herrövägen 4,656 71,Skattkärr,Karlstad,25.7,2025,29,1973,,,Ny kandidat
Upwards AB,5592401797,Munkbrogatan 2,111 27,Stockholm,Stockholm,25.6,2025,9,2020,,,Ny kandidat
Tornedalens Infrastruktur AB,5594898735,Hedbackavägen 74,975 96,Luleå,Luleå,25.6,2025,24,2024,,,Ny kandidat
Eccera Partner Network AB,5567539803,Gårdsvägen 18 7tr,169 70,Solna,Solna,25.5,2025,0,2008,,,Ny kandidat
Medpeople AB,5565960555,Björnidegränd 4,162 46,Vällingby,Stockholm,25.5,2025,18,2000,,,Ny kandidat
Procruitment Stockholm AB,5592152945,Döbelnsgatan 64,113 54,Stockholm,Stockholm,25.4,2024,25,2019,,,Ny kandidat
Balkefors & Ponsiluoma Aktiebolag,5590699632,Första Magasinsgatan 3 Bv,803 10,Gävle,Gävle,25.3,2025,1,2016,,,Ny kandidat
Spets Rörinstallationer AB,5592480999,Ulvsundavägen 176 c,168 67,Bromma,Stockholm,25.3,2024,32,2020,,,Ny kandidat
AB Coachgruppen Strömbergs,5566397997,Box 2337,103 18,Stockholm,Stockholm,25.2,2024,34,2003,,,Ny kandidat
Qura Care AB,5591840805,Stora Gatan 34,722 12,Västerås,Västerås,25.1,2025,20,2018,,,Ny kandidat
Sola Service i Karlstad AB,5592915606,Zakrisdalsvägen 1,653 36,Karlstad,Karlstad,25,2024,7,2020,,,Ny kandidat
Add-Up Bemanning AB,5590867973,Erik Dahlbergsgatan 12,561 31,Huskvarna,Jönköping,24.9,2025,38,2016,,,Ny kandidat
Seequaly AB,5569877458,Odengatan 22,113 51,Stockholm,Stockholm,24.6,2025,2,2014,,,Ny kandidat
Michael Page International (Sweden) AB,5566152343,Kungsbro Strand 29,112 26,Stockholm,Stockholm,24.5,2024,0,2001,,,Ny kandidat
Tracon Consulting AB,5591334494,Krangatan 1,721 32,Västerås,Västerås,24.5,2025,25,2017,,,Ny kandidat
Treko Climate AB,5591052005,Box 4001,182 04,Enebyberg,Danderyd,24.4,2024,11,2017,,,Ny kandidat
People of Interim & Finance Sweden AB,5594746249,Villagatan 25,114 32,Stockholm,Stockholm,24.1,2025,7,2024,,,Ny kandidat
Devi Recruit AB,5569166662,Karlavägen 53,114 49,Stockholm,Stockholm,24.1,2025,43,2012,,,Ny kandidat
Intensogruppen AB,5563543726,Klippan 1 a,414 51,Göteborg,Göteborg,24,2025,19,1989,,,Ny kandidat
Operationsspecialisten Stockholm AB,5592849474,Ardennervägen 46 b,184 94,Åkersberga,Österåker,23.9,2026,20,2020,,,Ny kandidat
Adxto Recruitment & Consulting AB,5567472534,Birger Jarlsgatan 12 5tr,114 34,Stockholm,Stockholm,23.8,2025,10,2007,,,Ny kandidat
Mitter Entreprenad AB,5590784723,Källängsvägen 1,141 71,Segeltorp,Huddinge,23.8,2025,10,2016,,,Ny kandidat
Michaël Berglund Executive Search AB,5562827369,Skeppsbron 44,111 30,Stockholm,Stockholm,23.6,2025,10,1986,,,Ny kandidat
Desider AB,5593274326,Birger Jarlsgatan 22,114 34,Stockholm,Stockholm,23.5,2025,7,2021,,,Ny kandidat
Mälardalen Bemanning och transport AB,5594109737,"c/o ABDULNASER ALRAHBAN, Västmannavägen 4 Lgh 1102",737 40,Fagersta,Fagersta,23.4,2024,1,2022,,,Ny kandidat
Håpe Kraft AB,5568007545,Mickelsvägen 3 a,824 34,Hudiksvall,Hudiksvall,23.4,2025,17,2010,,,Ny kandidat
Cia Assistans AB,5567473045,Algatan 70,231 42,Trelleborg,Trelleborg,23.3,2025,32,2007,,,Ny kandidat
Traindrivers Rental Scandinavia AB,5568216096,Norrlandsgatan 16 Bv,111 43,Stockholm,Stockholm,23.1,2024,23,2010,,,Ny kandidat
Emjoco AB,5591237200,Djuphamnsvägen 6 b,724 65,Västerås,Västerås,23.1,2025,24,2017,,,Ny kandidat
GO Support AB,5590059399,Albybergsringen 105 Lgh 3008,137 69,Österhaninge,Haninge,23,2025,61,2015,,,Ny kandidat
CoronaBorealis AB,5591439459,Storgatan 73,852 33,Sundsvall,Sundsvall,23,2024,45,2018,,,Ny kandidat
FC Crew AB,5592570765,Box 540,551 17,Jönköping,Jönköping,22.8,2025,47,2020,,,Ny kandidat
RealTrack Engineering Mälardalen AB,5592059355,Pilgatan 8 c,721 30,Västerås,Västerås,22.8,2024,14,2019,,,Ny kandidat
Themis Pelagic AB,5590382296,Hålabergsvägen 16,475 53,Rörö,Öckerö,22.7,2025,13,2015,,,Ny kandidat
Maquire Sverige AB,5567563506,Mässans Gata 18,412 51,Göteborg,Göteborg,22.6,2025,12,2008,,,Ny kandidat
K&E People AB,5593065112,Alströmergatan 39,112 47,Stockholm,Stockholm,22.6,2025,40,2021,,,Ny kandidat
ExpanderaMera byggbemanning och rekrytering i Europa AB,5567129928,Valhallavägen 77,114 28,Stockholm,Stockholm,22.6,2025,35,2006,,,Ny kandidat
Oftalmed AB,5592297559,Storgatsbacken 9,331 37,Värnamo,Värnamo,22.6,2025,9,2019,,,Ny kandidat
Kens Allmek AB,5593230864,Maskinvägen 4,938 32,Arjeplog,Arjeplog,22.6,2025,13,2021,,,Ny kandidat
Butler facility service Sweden AB,5566043419,Box 5242,102 45,Stockholm,Stockholm,22.4,2023,22,2001,,,Ny kandidat
Awexia Executive Search AB,5592335060,Hovslagargatan 5 b,111 48,Stockholm,Stockholm,22.3,2025,9,2019,,,Ny kandidat
Anchor Management BPM Aktiebolag,5567564454,"c/o WIN WIN EKONOMI, Box 92138",120 08,Stockholm,Stockholm,21.9,2024,12,2008,,,Ny kandidat
ANGI Bemanning AB,5569202160,Markbovägen 12 b 1 Tr,423 70,Säve,Göteborg,21.9,2025,39,2013,,,Ny kandidat
Winox Ultra Service AB,5592196694,Lundavägen 19,212 18,Malmö,Malmö,21.9,2025,19,2019,,,Ny kandidat
Job&Talent Southeast Sweden AB,5566087689,Norra Promenaden 63,602 38,Norrköping,Norrköping,21.9,2024,27,2001,,,Ny kandidat
Kubat & Partners AB,5569321044,Barnsjöslingan 10 a,135 53,Tyresö,Tyresö,21.8,2025,1,2013,,,Ny kandidat
Pharma Bemanning Sverige AB,5592470644,Skomakarvägen 20,136 70,Vendelsö,Haninge,21.7,2025,28,2020,,,Ny kandidat
VTA Entreprenad Sverige AB,5592020480,Industrivägen 13,972 54,Luleå,Luleå,21.7,2025,24,2019,,,Ny kandidat
Najmoddin CRM AB,5592352321,Birger Jarlsgatan 39,111 45,Stockholm,Stockholm,21.6,2024,11,2020,,,Ny kandidat
Inda Utveckling AB,5569125361,Adolfsbergsvägen 4,702 27,Örebro,Örebro,21.6,2025,26,2012,,,Ny kandidat
FHS AB,5593181257,Södravägen 2,267 39,Bjuv,Bjuv,21.6,2025,6,2021,,,Ny kandidat
Klara Bemannings AB,5590178561,Donsö Hamnväg 16 b,430 82,Donsö,Göteborg,21.5,2025,12,2015,,,Ny kandidat
Valida Personal Due Diligence AB,5567358113,Blasieholmsgatan 4 b,111 48,Stockholm,Stockholm,21.4,2024,12,2007,,,Ny kandidat
DA Dansalliansen Aktiebolag,5567068472,Ryssviksvägen 2,131 36,Nacka,Nacka,21.4,2025,68,2006,,,Ny kandidat
Åkeritjänster i Borlänge AB,5567376685,Ritargatan 6 1 Tr,781 70,Borlänge,Borlänge,21.4,2025,38,2007,,,Ny kandidat
Go-Rock Förmedling AB,5567305320,Förrådsgränd 7,162 50,Vällingby,Stockholm,21.2,2025,0,2007,,,Ny kandidat
HAGA Rekrytering AB,5569233645,Skolgatan 36,413 02,Göteborg,Göteborg,21.1,2024,22,2013,,,Ny kandidat
Östgöta Byggresurs AB,5568379381,Navestadsgatan 37,603 66,Norrköping,Norrköping,21.1,2025,31,2011,,,Ny kandidat
Kungsbacka Byggtjänst AB,5569686164,Hvitfeldtsgatan 8,411 20,Göteborg,Göteborg,21,2025,17,2014,,,Ny kandidat
Medkomp Vårdbemanning Aktiebolag,5590212121,Borevägen 7,191 43,Sollentuna,Sollentuna,21,2025,11,2015,,,Ny kandidat
Sydantenn och Tele Installations Aktiebolag,5564691425,Danska Vägen 57,212 29,Malmö,Malmö,21,2025,33,1993,,,Ny kandidat
Isaksson Rekrytering & Bemanning AB,5567255699,Norrtullsgatan 12 n,113 27,Stockholm,Stockholm,20.9,2025,18,2007,,,Ny kandidat
VEDDIGE bemanning AB,5592473747,Almvägen 5,432 66,Veddige,Varberg,20.9,2025,16,2020,,,Ny kandidat
Blackfish Core AB,5593460743,Textilgatan 43,120 30,Stockholm,Stockholm,20.7,2025,9,2021,,,Ny kandidat
Uddevalla Bemanning AB,5591572432,Landhult 2,458 96,Högsäter,Färgelanda,20.7,2025,17,2018,,,Ny kandidat
People Partner Group Sweden AB,5592700099,Östermalmstorg 1,114 42,Stockholm,Stockholm,20.6,2025,4,2020,https://www.peoplegroup.se/,,Ny kandidat
Horeca AB,5590989694,Sönderborgsgatan 2,195 30,Märsta,Sigtuna,20.6,2025,35,2017,,,Ny kandidat
Bemanningscentralen I Norr AB,5594382383,Villastigen 9,962 70,Vuollerim,Jokkmokk,20.6,2025,28,2023,,,Ny kandidat
Sveda & Värk AB,5591955124,Drottninggatan 32,111 51,Stockholm,Stockholm,20.5,2025,17,2019,,,Ny kandidat
Exakt Bygg & Bemanning i Sälen AB,5568129422,Varuvägen 9,125 30,Älvsjö,Stockholm,20.5,2025,5,2010,,,Ny kandidat
Nordia Administration AB,5568783970,Kungsportsavenyen 1,411 36,Göteborg,Göteborg,20.5,2025,18,2011,,,Ny kandidat
Job By Instep AB,5592830979,Stenkumlagatan 10,724 69,Västerås,Västerås,20.2,2025,22,2020,,,Ny kandidat
GTC Sweden AB,5592625965,Vellingevägen 4 b,235 43,Vellinge,Vellinge,20.2,2025,2,2020,,,Ny kandidat
Upgraded People Resources AB,5591019525,Lillsjöraden 22,553 20,Jönköping,Jönköping,20.1,2025,26,2017,,,Ny kandidat
Edda Group Sweden AB,5592174618,Storgatan 14,352 31,Växjö,Växjö,20.1,2024,38,2019,,,Ny kandidat
Dabster Systems Sweden AB,5590541073,Lilla Nygatan 23,111 28,Stockholm,Stockholm,20.1,2024,1-4,2016,,,Ny kandidat
Always Bemanning AB,5590476650,Ekingevägen 15,137 54,Tungelsta,Haninge,20.1,2024,14,2016,,,Ny kandidat
Stella Rekrytering och Ledarskap AB,5567453559,Västra Storgatan 12,553 15,Jönköping,Jönköping,19.9,2025,13,2007,,,Ny kandidat
Exacy AB,5593647059,Dalkarlsvägen 14,132 47,Saltsjö-Boo,Nacka,19.9,2025,4,2022,,,Ny kandidat
Docia AB,5590494653,Kistagången 20 b,164 40,Kista,Stockholm,19.8,2025,9,2016,,,Ny kandidat
ByggLove Bemanning AB,5593875015,Korsgatan 2 e,602 33,Norrköping,Norrköping,19.8,2025,23,2022,,,Ny kandidat
JobMatch Sweden AB,5567818330,Skårs Led 3,412 63,Göteborg,Göteborg,19.7,2025,1,2009,,,Ny kandidat
Asta Agency AB,5594199704,Wallingatan 12,111 60,Stockholm,Stockholm,19.7,2025,22,2023,,,Ny kandidat
Power Elitgruppen AB,5590210687,Drottninggatan 63 a,602 32,Norrköping,Norrköping,19.6,2025,10-19,2015,,,Ny kandidat
E-commerce Recruit Nordic AB,5592273287,Lilla Torg 4,211 34,Malmö,Malmö,19.6,2025,8,2019,,,Ny kandidat
Musikevent Hoxell AB,5567614085,Mästaregatan 5,731 50,Köping,Köping,19.4,2025,2,2008,,,Ny kandidat
STHLM 08 ENTREPRENAD AB,5567641583,Östermalmstorg 2,114 42,Stockholm,Stockholm,19.4,2025,16,2008,,,Ny kandidat
PAYHOUR AB,5590977442,Karlbergsvägen 10,113 27,Stockholm,Stockholm,19.3,2025,4,2017,,,Ny kandidat
PersonalExpressen AB,5591070213,Mäster Samuelsgatan 42 15 Tr.,111 57,Stockholm,Stockholm,19.2,2024,28,2017,,,Ny kandidat
Oplana Resurs AB,5562664465,Torshamnsgatan 28 a 3tr,164 40,Kista,Stockholm,19.1,2025,43,1986,,,Ny kandidat
Capus AB,5566597828,Repslagargatan 15 b 3tr,118 46,Stockholm,Stockholm,18.9,2025,11,2004,,,Ny kandidat
Verdi Vård AB,5592492895,Stortorget 2,371 12,Karlskrona,Karlskrona,18.9,2025,17,2020,,,Ny kandidat
Sparx Branding AB,5594794199,Liljeholmsvägen 32,117 61,Stockholm,Stockholm,18.8,2026,12,2024,,,Ny kandidat
Promediqa Group Sweden AB,5594705476,Hagaplan 4,113 68,Stockholm,Stockholm,18.6,2025,11,2024,,,Ny kandidat
YOUNES Bemanning AB,5593066482,Tuvängsvägen 4,152 42,Södertälje,Södertälje,18.6,2024,8,2021,,,Ny kandidat
workntravel i Sverige AB,5593475063,Mälarhöjdsvägen 2,129 40,Hägersten,Stockholm,18.3,2025,33,2021,,,Ny kandidat
Lawema AB,5565472114,Oxelgatan 3,186 48,Vallentuna,Vallentuna,18.3,2025,27,1997,,,Ny kandidat
Leaseright AB,5566956610,Kungsgatan 13,462 33,Vänersborg,Vänersborg,18.1,2025,18,2006,,,Ny kandidat
Crew Team Stockholm AB,5594665365,Aspvägen 11,175 64,Järfälla,Järfälla,18,2025,83,2024,,,Ny kandidat
Job&Talent Stockholm On site Sweden AB,5567695043,Huskvarnavägen 40,554 54,Jönköping,Jönköping,17.9,2024,24,2008,,,Ny kandidat
Spets Byggnadsplåt och Vent AB,5592472616,Ulvsundavägen 176 c,168 67,Bromma,Stockholm,17.9,2024,24,2020,,,Ny kandidat
Nobl Consulting Stockholm AB,5590710256,Kolonnvägen 18,169 70,Solna,Solna,17.9,2025,32,2016,,,Ny kandidat
Norra Resurs Rekrytering & Bemanning AB,5592904626,Smedjegatan 19,972 32,Luleå,Luleå,17.8,2025,23,2020,,,Ny kandidat
Jerrie AB,5568812571,Mässans Gata 18,412 51,Göteborg,Göteborg,17.7,2025,11,2012,,,Ny kandidat
Intalma - International Talent Management AB,5590044680,Ölandsgatan 49 a,116 63,Stockholm,Stockholm,17.7,2025,5-9,2015,,,Ny kandidat
RMTGL AB,5592357700,Frihamnen 16 a,417 70,Göteborg,Göteborg,17.7,2025,17,2020,,,Ny kandidat
Blomqvist Transport & Entreprenad AB,5592149446,Eskadergatan 14,721 31,Västerås,Västerås,17.6,2025,3,2019,,,Ny kandidat
"Lingmans Konsult, Maskin & Växtodling AB",5569953044,Växbo Överbacken 3163,821 95,Bollnäs,Bollnäs,17.5,2025,8,2014,,,Ny kandidat
